t,x,v,a,phi,phi_v,phi_a
4.18,0.7016321459273873,0.42114164595804765,0.11381279083785556,8.770401824092346,5.264270574475596,1.4226598854731876
4.19,0.7058549224910036,0.4222776563616314,0.1133877326639221,8.82318653113755,5.278470704520393,1.4173466582990457
4.2,0.7100890164971168,0.4234094006113261,0.11295956590802458,8.876112706213966,5.292617507641577,1.411994573850306
4.21,0.7143343849739147,0.4245368476797919,0.11252830230857047,8.92917981217394,5.306710595997399,1.4066037788571073
4.22,0.7185909846404895,0.4256599666574975,0.11209395368886321,8.982387308006127,5.320749583218719,1.4011744211107846
4.23,0.7228587719080253,0.42677872675356915,0.1116565319567886,9.035734648850323,5.3347340844196145,1.3957066494598713
4.24,0.7271377028809916,0.4278930972966333,0.11121604910448446,9.089221286012403,5.348663716207916,1.3902006138060585
4.25,0.7314277333583482,0.42900304773565884,0.11077251720801873,9.142846666979361,5.362538096695736,1.3846564651002424
4.26,0.7357288188347562,0.43010854764079365,0.11032594842704246,9.19661023543446,5.376356845509921,1.3790743553380391
4.2700000000000005,0.7400409145017982,0.4312095667041997,0.10987635500445403,9.250511431272484,5.3901195838024965,1.3734544375556546
4.28,0.7443639752492069,0.43230607474088273,0.10942374926608545,9.304549690615096,5.403825934261034,1.3677968658260653
4.29,0.7486979556661021,0.4333980416895214,0.108968143620361,9.358724445826285,5.417475521119018,1.3621017952545333
4.3,0.753042810042235,0.43448543761328995,0.10850955055793643,9.413035125527948,5.431067970166125,1.3563693819742095
4.3100000000000005,0.7573984923692417,0.4355682327006801,0.10804798265136584,9.467481154615532,5.444602908758502,1.350599783142048
4.32,0.7617649563419049,0.43664639726631727,0.10758345255476032,9.522061954273822,5.458079965828966,1.3447931569344984
4.33,0.7661421553594226,0.43771990175177533,0.10711597300347431,9.576776941992794,5.471498771897192,1.338949662543465
4.34,0.7705300425266866,0.43878871672638675,0.10664555681367816,9.631625531583593,5.484858959079835,1.333069460170977
4.3500000000000005,0.7749285706555671,0.4398528128880489,0.10617221688206946,9.686607133194597,5.4981601611006115,1.3271527110258585
4.36,0.7793376922662074,0.44091216106402814,0.10569596618549837,9.741721153327601,5.511402013300352,1.3211995773187546
4.37,0.7837573595883249,0.44196673221175886,0.10521681778061787,9.79696699485407,5.5245841526469865,1.31521022225769
4.38,0.7881875245625213,0.4430164974196405,0.10473478480352849,9.852344057031527,5.537706217745506,1.3091848100440728
4.39,0.7926281388415995,0.44406142790782943,0.10424988046941752,9.907851735520005,5.550767848847868,1.3031235058677648
4.4,0.7970791537918899,0.44510149502902885,0.1037621180721704,9.963489422398633,5.563768687862861,1.2970264759021077
4.41,0.8015405204945826,0.44613667026927284,0.10327151098403486,10.019256506182291,5.57670837836591,1.290893887300415
4.42,0.8060121897470697,0.44716692524870955,0.10277807265526018,10.075152371838382,5.58958656560887,1.2847259081907758
4.43,0.8104941120642934,0.44819223172237804,0.10228181661370572,10.131176400803678,5.602402896529726,1.2785227076713035
4.44,0.8149862376801033,0.44921256158098366,0.10178275646448576,10.1873279710013,5.615157019762296,1.2722844558060942
4.45,0.8194885165486199,0.45022788685166776,0.1012809058895725,10.243606456857759,5.627848585645848,1.2660113236196757
4.46,0.8240008983456076,0.4512381796987751,0.10077627864746586,10.300011229320106,5.640477246234689,1.2597034830932774
4.47,0.8285233324698539,0.4522434124246171,0.1002688885727826,10.356541655873182,5.653042655307713,1.2533611071597672
4.48,0.8330557680445562,0.45324355747023076,0.09975874957586506,10.41319710055696,5.665544468377885,1.246984369698323
4.49,0.8375981539187174,0.4542385874161344,0.0992458756424286,10.469976923983976,5.67798234270168,1.2405734455303463
4.5,0.8421504386685481,0.45522847498307933,0.09873028083318136,10.526880483356862,5.6903559372884915,1.2341285104148003
4.51,0.8467125705988761,0.456213193032798,0.09821197928341352,10.583907132485963,5.702664912909976,1.2276497410427023
4.5200000000000005,0.8512844977445636,0.4571927145687476,0.09769098520261976,10.641056221807057,5.714908932109346,1.2211373150327276
4.53,0.8558661678719321,0.4581670127368504,0.09716731287411351,10.698327098399163,5.72708765921063,1.2145914109264133
4.54,0.8604575284801943,0.4591360608262299,0.09664097665464666,10.755719106002442,5.739200760327874,1.2080122081830957
4.55,0.8650585268028939,0.46009983226994333,0.09611199097399603,10.813231585036183,5.751247903374292,1.2013998871749365
4.5600000000000005,0.8696691098093509,0.4610583006457098,0.0955803703345498,10.870863872616896,5.763228758071373,1.19475462918186
4.57,0.8742892242061171,0.46201143967663433,0.09504612931096612,10.928615302576475,5.775142995957929,1.1880766163871126
4.58,0.8789188164384365,0.4629592232319291,0.09450928254974289,10.986485205480466,5.786990290399115,1.1813660318718
4.59,0.8835578326917127,0.4639016253276292,0.09396984476880421,11.044472908646421,5.798770316595365,1.1746230596100027
4.6000000000000005,0.8882062188929858,0.4648386201273052,0.09342783075709515,11.102577736162335,5.810482751591315,1.1678478844636686
4.61,0.8928639207124135,0.4657701819427711,0.0928832553742015,11.160799008905181,5.822127274284639,1.1610406921775507
4.62,0.8975308835647614,0.46669628523478923,0.0923361335499473,11.21913604455953,5.833703565434866,1.1542016693743662
4.63,0.9022070526108991,0.46761690461377003,0.0917864802839563,11.27758815763625,5.845211307672126,1.1473310035494677
